PC=00000000000000fc, T_valid=0, T=31, Told=31, rega=32, regb=59
PC=0000000000000100, T_valid=0, T=31, Told=31, rega=61, regb=59
PC=0000000000000104, T_valid=1, T=44, Told=59, rega=59, regb=31
PC=0000000000000108, T_valid=0, T=31, Told=31, rega=31, regb=40
PC=0000000000000090, T_valid=1, T=14, Told=61, rega=31, regb=41
PC=0000000000000094, T_valid=1, T=15, Told=32, rega=31, regb= 5
PC=0000000000000098, T_valid=1, T=34, Told=33, rega=33, regb=15
PC=000000000000009c, T_valid=1, T=49, Told=38, rega=38, regb=34
PC=00000000000000a0, T_valid=1, T= 6, Told=40, rega=31, regb=49
PC=00000000000000a4, T_valid=1, T=37, Told=14, rega=14, regb=62
PC=00000000000000a8, T_valid=0, T=31, Told=31, rega=37, regb=31
PC=00000000000000ac, T_valid=1, T=42, Told=15, rega=31, regb=60
PC=00000000000000b0, T_valid=1, T=45, Told=62, rega=62, regb=31
PC=00000000000000b4, T_valid=1, T=46, Told=34, rega=34, regb=42
PC=00000000000000b8, T_valid=1, T=55, Told=49, rega=49, regb=46
PC=00000000000000bc, T_valid=1, T=56, Told= 6, rega=31, regb=55
PC=0000000000000140, T_valid=0, T=31, Told=31, rega=14, regb=15
PC=0000000000000144, T_valid=0, T=31, Told=31, rega=31, regb= 6
PC=0000000000000148, T_valid=1, T=37, Told=15, rega=31, regb= 6
PC=00000000000000a4, T_valid=1, T=37, Told=14, rega=14, regb=62
PC=00000000000000a8, T_valid=0, T=31, Told=31, rega=37, regb=31
PC=00000000000000ac, T_valid=1, T=42, Told=15, rega=31, regb=60
PC=00000000000000b0, T_valid=1, T=45, Told=62, rega=62, regb=31
PC=00000000000000b4, T_valid=1, T=46, Told=34, rega=34, regb=42
PC=00000000000000b8, T_valid=1, T=55, Told=49, rega=49, regb=46
PC=00000000000000bc, T_valid=1, T=56, Told= 6, rega=31, regb=55
PC=00000000000000c0, T_valid=0, T=31, Told=31, rega=41, regb=31
PC=00000000000000c4, T_valid=1, T=47, Told=55, rega=55, regb=46
PC=0000000000000044, T_valid=1, T=42, Told=62, rega=62, regb=31
PC=0000000000000048, T_valid=1, T=45, Told=34, rega=34, regb=60
PC=000000000000004c, T_valid=1, T=46, Told=49, rega=49, regb=45
PC=0000000000000050, T_valid=1, T=55, Told=15, rega=31, regb=60
PC=0000000000000054, T_valid=1, T=56, Told= 6, rega=31, regb=46
PC=0000000000000058, T_valid=0, T=31, Told=31, rega=41, regb=31
PC=0000000000000070, T_valid=1, T=47, Told= 5, rega=31, regb=55
PC=0000000000000074, T_valid=1, T=48, Told=46, rega=46, regb=45
PC=0000000000000078, T_valid=1, T=50, Told=56, rega=31, regb=48
PC=000000000000014c, T_valid=1, T=47, Told= 3, rega= 3, regb=55
PC=0000000000000150, T_valid=1, T=48, Told=41, rega=47, regb=37
PC=0000000000000154, T_valid=0, T=31, Told=31, rega=31, regb=56
PC=0000000000000158, T_valid=1, T=50, Told=48, rega=48, regb=31
PC=000000000000015c, T_valid=1, T=51, Told=50, rega=50, regb=31
PC=0000000000000170, T_valid=1, T=52, Told=51, rega=51, regb=31
PC=0000000000000174, T_valid=1, T=53, Told=52, rega=52, regb=31
PC=0000000000000058, T_valid=0, T=31, Told=31, rega=48, regb=31
PC=0000000000000070, T_valid=1, T=50, Told= 5, rega=31, regb=55
PC=0000000000000074, T_valid=1, T=51, Told=46, rega=46, regb=45
PC=0000000000000078, T_valid=1, T=52, Told=56, rega=31, regb=51
PC=000000000000007c, T_valid=1, T=53, Told=45, rega=45, regb=55
PC=0000000000000080, T_valid=1, T=54, Told=51, rega=51, regb=53
PC=0000000000000084, T_valid=1, T=57, Told=52, rega=31, regb=54
PC=0000000000000088, T_valid=0, T=31, Told=31, rega=48, regb=31
PC=0000000000000134, T_valid=1, T=53, Told=55, rega=55, regb=55
PC=0000000000000138, T_valid=0, T=31, Told=31, rega=31, regb=52
PC=000000000000007c, T_valid=1, T=54, Told=45, rega=45, regb=53
PC=0000000000000080, T_valid=1, T=57, Told=51, rega=51, regb=54
PC=0000000000000084, T_valid=1, T=35, Told=52, rega=31, regb=57
PC=0000000000000088, T_valid=0, T=31, Told=31, rega=48, regb=31
PC=0000000000000070, T_valid=1, T=58, Told=50, rega=31, regb=53
